Videos,Code_I,Code_II,Code_III,Code_IV
z185-sep-09-22-marius_assemble_start_148.315_end_158.715.mp4,Interjection,Changing angle between pieces ,Incorrect subcomponent orientation,
z136-aug-13-22-marius_assemble_start_19.129_end_26.247.mp4,Retract from wrong reach,,,
z057-june-28-22-rashult_assemble_start_1044.082_end_1050.641.mp4,Missing Tool,,,
z096-july-12-22-marius_assemble_start_106.3_end_113.9.mp4,Warning For Future,,,
z191-sep-11-22-rashult_assemble_start_630.0_end_639.9.mp4,Slow Movement,,,
z051-june-27-22-knarrevik_assemble_start_68.4_end_76.069.mp4,Incorrect subcomponent placement,,,
z138-aug-15-22-marius_assemble_start_101.845_end_112.349.mp4,Inconvenient subcomponent orientation,,,
z185-sep-09-22-knarrevik_assemble_start_129.279_end_137.626.mp4,Inconvenient subcomponent orientation,,,
z064-june-29-22-gladom_assemble_start_192.792_end_202.01148977880032.mp4,Incorrect subcomponent orientation,,,
z017-june-20-22-rashult_assemble_start_845.505_end_852.358.mp4,Incorrect subcomponent orientation,,,
z084-july-06-22-marius_assemble_start_108.31960812255078_end_116.2716081225508.mp4,Incorrect subcomponent orientation,,,
z036-june-23-22-knarrevik_assemble_start_17.68_end_28.99.mp4,Small 1D Gaze Shift,Pitch 180,,
z074-july-01-22-rashult_assemble_start_739.1_end_749.002.mp4,Incorrect subcomponent orientation,,,
z051-june-27-22-rashult_assemble_start_137.3_end_146.2.mp4,Incorrect subcomponent orientation,Roll 180,,
z161-aug-29-22-rashult_assemble_start_424.3_end_432.3.mp4,Incorrect subcomponent placement,,,
z035-june-23-22-marius_assemble_start_14.2_end_23.7.mp4,Pick-up wrong piece,,,
z025-june-21-22-knarrevik_assemble_start_12.3_end_25.539.mp4,Pick-up wrong piece,,,
z014-june-17-22-gladom_assemble_start_106.22_end_114.5.mp4,Pause full hand,Pitch 360,,
z185-sep-09-22-marius_assemble_start_307.876_end_316.476.mp4,Incorrect subcomponent orientation,,,
z096-july-12-22-marius_assemble_start_135.21_end_152.41.mp4,Incorrect subcomponent orientation,,,
z194-sep-16-22-marius_assemble_start_182.104_end_191.553.mp4,Moving farther back,,,
z106-july-14-22-rashult_assemble_start_21.4_end_29.388.mp4,Comment,,,
z081-july-06-22-marius_assemble_start_39.2_end_46.371.mp4,Reaching towards wrong piece ,,,
z015-june-17-22-gladom_assemble_start_123.1_end_130.90980393131795.mp4,Inconvenient subcomponent placement,Incorrect subcomponent orientation,,
z201-sep-22-22-rashult_assemble_start_1101.059_end_1107.859.mp4,Incomplete Step,,,
z030-june-22-22-gladom_assemble_start_39.886_end_48.3.mp4,Shifting alignment,,,
z025-june-21-22-knarrevik_assemble_start_45.12_end_52.745.mp4,Pause full hand,Incorrect subcomponent placement,,
z150-aug-22-22-rashult_assemble_start_137.234_end_144.8.mp4,No apparent Cue,,,
z169-sep-02-22-rashult_assemble_start_14.640999999999998_end_24.613.mp4,Pitch 180,Roll 90 ,Retract from right contact,
z169-sep-02-22-rashult_assemble_start_617.424_end_625.141.mp4,Incorrect subcomponent placement,,,
z185-sep-09-22-marius_assemble_start_260.682_end_271.582.mp4,Pick-up wrong piece,Pause full hand,,
z138-aug-15-22-marius_assemble_start_165.367_end_175.951.mp4,Pick-up wrong piece,,,
z194-sep-16-22-knarrevik_assemble_start_15.100000000000001_end_22.641.mp4,Pitch 180,Roll 90 ,,
z150-aug-22-22-rashult_assemble_start_586.029_end_591.366.mp4,Pause empty hand,,,
z053-june-27-22-rashult_assemble_start_459.051_end_467.186.mp4,Fixate on piece,Looking away,,
z048-june-25-22-marius_assemble_start_148.2_end_156.4.mp4,Warning For Future,,,
z019-june-20-22-rashult_assemble_start_902.175_end_909.625.mp4,Pick-up wrong piece,,,
z108-july-26-22-marius_assemble_start_33.38_end_39.586.mp4,Incorrect subcomponent orientation,Pick-up wrong piece,,
z053-june-27-22-gladom_assemble_start_246.2_end_252.945.mp4,Inconvenient subcomponent placement,,,
z113-aug-03-22-rashult_assemble_start_65.759_end_75.588.mp4,Pause full hand,Retract from wrong contact,,
z101-july-13-22-rashult_assemble_start_181.3_end_187.8.mp4,Roll 90 ,Pitch 90 ,Yaw 90,
z038-june-23-22-rashult_assemble_start_175.622_end_182.625.mp4,Retracting with the right piece ,Pitch 180,,
z023-june-21-22-gladom_assemble_start_38.1_end_49.1.mp4,Incorrect subcomponent orientation,Touching pieces together,,
z024-june-21-22-rashult_assemble_start_470.543_end_480.4.mp4,Reaching towards wrong piece ,Looking around,,
z023-june-21-22-marius_assemble_start_19.91_end_27.41.mp4,Pick-up wrong piece,,,
z157-aug-27-22-marius_assemble_start_74.878_end_81.103.mp4,Pick-up wrong piece,,,
z185-sep-09-22-gladom_assemble_start_92.205_end_98.224.mp4,Pause full hand,Incorrect subcomponent orientation,,
z017-june-20-22-rashult_assemble_start_291.494_end_298.5.mp4,Incorrect subcomponent orientation,,,
z137-aug-14-22-rashult_assemble_start_52.7_end_60.4.mp4,Pause empty hand,Moving farther back,,
z178-sep-05-22-knarrevik_assemble_start_31.265_end_39.241.mp4,Incorrect subcomponent orientation,,,
z081-july-06-22-rashult_assemble_start_138.688_end_146.324.mp4,Reaching towards wrong piece ,Pointing,,
z015-june-17-22-rashult_assemble_start_41.2_end_53.4.mp4,Pitch 90 ,,,
z045-june-24-22-gladom_assemble_start_123.4_end_129.7.mp4,Pick-up wrong piece,,,
z015-june-17-22-rashult_assemble_start_761.8199953333929_end_772.9799930000896.mp4,Large 1D Gaze Shift,Looking around,Looking away,
z038-june-23-22-knarrevik_assemble_start_28.445_end_38.745.mp4,Retract from right contact,Pitch 90 ,Inconvenient subcomponent orientation,
z150-aug-22-22-rashult_assemble_start_47.379_end_54.578.mp4,Fixate on piece,Pause full hand,,
z109-july-27-22-rashult_assemble_start_387.2_end_399.0.mp4,Pause full hand,Moving farther back,,
z131-aug-11-22-rashult_assemble_start_629.1_end_637.2.mp4,Builder history,,,
z185-sep-09-22-marius_assemble_start_95.747_end_102.547.mp4,Touching pieces together,Incorrect subcomponent orientation,,
z169-sep-02-22-knarrevik_assemble_start_28.514000000000003_end_37.951.mp4,Yaw 180,Pitch 180,,
z062-june-29-22-rashult_assemble_start_1061.1_end_1068.7.mp4,Incorrect subcomponent placement,,,
z136-aug-13-22-marius_assemble_start_151.3_end_157.967.mp4,No apparent Cue,,,
z130-aug-11-22-marius_assemble_start_55.342_end_62.523.mp4,Pause empty hand,Small 1D Gaze Shift,,
z142-aug-17-22-marius_assemble_start_7.1899999999999995_end_13.808.mp4,Fixate on piece,Retract from right reach,,
z117-aug-05-22-rashult_assemble_start_153.911_end_162.5.mp4,Pause full hand,Incorrect subcomponent placement,,
z106-july-14-22-rashult_assemble_start_51.9_end_59.8.mp4,Comment,,,
z095-july-11-22-rashult_assemble_start_525.1_end_533.555.mp4,Incorrect subcomponent placement,Pick-up wrong piece,,
z169-sep-02-22-knarrevik_assemble_start_16.584_end_28.98.mp4,Pitch 180,Yaw 360,Touching pieces together,
z187-sep-09-22-rashult_assemble_start_37.363_end_43.5.mp4,Roll 90 ,,,
z014-june-17-22-gladom_assemble_start_319.157_end_328.927.mp4,Touching pieces together,,,
z048-june-25-22-rashult_assemble_start_159.197_end_166.318.mp4,Large 1D Gaze Shift,Roll 180,,
z066-june-29-22-marius_assemble_start_86.2_end_93.4.mp4,Pick-up wrong piece,,,
z050-june-27-22-rashult_assemble_start_956.171_end_968.765.mp4,Inconvenient subcomponent orientation,,,
z110-aug-02-22-rashult_assemble_start_117.2_end_126.6.mp4,Small 1D Gaze Shift,Pick-up wrong piece,,
z050-june-27-22-rashult_assemble_start_855.4_end_865.088.mp4,Incorrect subcomponent orientation,,,
z019-june-20-22-rashult_assemble_start_1111.438_end_1119.041.mp4,Missing Tool,,,
z069-june-29-22-knarrevik_assemble_start_35.1_end_44.445.mp4,Roll 90 ,Pitch 90 ,,
z062-june-29-22-rashult_assemble_start_18.7_end_26.733.mp4,Pick-up wrong piece,,,
z102-july-13-22-rashult_assemble_start_178.806_end_188.324.mp4,Pause full hand,,,
z047-june-25-22-marius_assemble_start_42.6_end_53.239.mp4,Reaching towards wrong piece ,,,
z069-june-29-22-rashult_assemble_start_740.129_end_752.629.mp4,Inconvenient subcomponent orientation,Pause full hand,,
z198-sep-18-22-rashult_assemble_start_387.571_end_394.906.mp4,Pick-up wrong piece,,,
z121-aug-09-22-gladom_assemble_start_154.2_end_161.9.mp4,Incorrect subcomponent orientation,,,
z048-june-25-22-rashult_assemble_start_520.15_end_527.65.mp4,Small 1D Gaze Shift,,,
z046-june-24-22-marius_assemble_start_88.349_end_96.757.mp4,Incorrect subcomponent placement,,,
z046-june-24-22-knarrevik_assemble_start_81.082_end_88.114.mp4,Inconvenient subcomponent orientation,Moving closer ,,
z053-june-27-22-marius_assemble_start_101.375_end_108.525.mp4,Pick-up wrong piece,,,
z104-july-14-22-knarrevik_assemble_start_531.0_end_538.9.mp4,Looking away,Looking around,,
z108-july-26-22-gladom_assemble_start_170.71_end_177.06.mp4,Incorrect subcomponent orientation,,,
z066-june-29-22-rashult_assemble_start_710.776_end_719.106.mp4,Missing Tool,,,
z191-sep-11-22-knarrevik_assemble_start_101.3_end_107.5.mp4,Looking away,Looking around,,
z109-july-27-22-rashult_assemble_start_255.3_end_262.9.mp4,Shifting alignment,Pause empty hand,,
z162-aug-30-22-gladom_assemble_start_43.188_end_51.775.mp4,Incorrect subcomponent orientation,,,
z190-sep-10-22-rashult_assemble_start_302.3_end_311.3.mp4,Reaching towards wrong piece ,Large 1D Gaze Shift,,
z098-july-12-22-marius_assemble_start_88.1_end_94.147.mp4,Reaching towards wrong piece ,Pick-up wrong piece,,
z191-sep-11-22-rashult_assemble_start_537.1_end_546.4.mp4,Incorrect subcomponent placement,,,
z135-aug-13-22-marius_assemble_start_58.80000000000001_end_65.80000000000005.mp4,Builder history,,,
z157-aug-27-22-rashult_assemble_start_736.251_end_743.451.mp4,Inconvenient subcomponent placement,,,
z076-july-01-22-rashult_assemble_start_534.329_end_543.477.mp4,Inconvenient subcomponent orientation,,,
z038-june-23-22-rashult_assemble_start_13.88619607003_end_23.029.mp4,Roll 90 ,Pause full hand,,
z194-sep-16-22-marius_assemble_start_52.349_end_59.553.mp4,Pause empty hand,,,
z014-june-17-22-gladom_assemble_start_271.066_end_280.284.mp4,Incorrect subcomponent placement,,,
z129-aug-11-22-rashult_assemble_start_548.1_end_557.076.mp4,Incorrect subcomponent placement,Yaw 90,,
z093-july-11-22-knarrevik_assemble_start_52.3_end_60.196.mp4,Pause full hand,,,
z114-aug-03-22-knarrevik_assemble_start_15.888000000000002_end_27.388.mp4,Pause full hand,,,
z178-sep-05-22-knarrevik_assemble_start_7.300000000000001_end_18.6.mp4,Retract from right contact,Small 1D Gaze Shift,,
z153-aug-25-22-rashult_assemble_start_106.7_end_119.0.mp4,Pick-up wrong piece,,,
z099-july-13-22-rashult_assemble_start_394.3_end_400.427.mp4,Retract from wrong reach,,,
z123-aug-09-22-knarrevik_assemble_start_31.200000000000003_end_44.7.mp4,Pitch 180,Yaw 90,,
z168-sep-01-22-rashult_assemble_start_39.3_end_45.9.mp4,Pause empty hand,Small 1D Gaze Shift,,
z088-july-07-22-knarrevik_assemble_start_17.272_end_25.259.mp4,Incorrect subcomponent orientation,Reaching towards wrong piece ,,
z060-june-28-22-rashult_assemble_start_531.4_end_540.4.mp4,Inconvenient subcomponent placement,,,
z053-june-27-22-gladom_assemble_start_99.336_end_107.511.mp4,Incorrect subcomponent placement,,,
z019-june-20-22-gladom_assemble_start_356.351_end_370.632.mp4,Incomplete Step,,,
z183-sep-08-22-gladom_assemble_start_15.370000000000001_end_22.782.mp4,Pause full hand,Touching pieces together,,
z191-sep-11-22-marius_assemble_start_65.4_end_71.6.mp4,Incorrect subcomponent orientation,,,
z047-june-25-22-marius_assemble_start_118.022_end_125.322.mp4,Warning For Future,,,
z121-aug-09-22-gladom_assemble_start_101.498_end_109.667.mp4,Pause full hand,,,
z030-june-22-22-marius_assemble_start_58.916_end_70.516.mp4,No apparent Cue,,,
z153-aug-25-22-gladom_assemble_start_74.55_end_81.709.mp4,Pick-up wrong piece,,,
z190-sep-10-22-rashult_assemble_start_169.884_end_179.1.mp4,Incorrect subcomponent orientation,,,
z142-aug-17-22-marius_assemble_start_76.806_end_82.9.mp4,Incorrect subcomponent placement,,,
z009-june-15-22-marius_assemble_start_244.624_end_252.824.mp4,Pause empty hand,Decrease Proximity to Gaze,,
z047-june-25-22-marius_assemble_start_91.4_end_99.3.mp4,Pick-up wrong piece,Incorrect subcomponent placement,,
z048-june-25-22-rashult_assemble_start_12.826_end_22.737.mp4,Pick-up wrong piece,Pitch 90 ,,
z064-june-29-22-gladom_assemble_start_223.3472352433676_end_230.98.mp4,Pick-up wrong piece,,,
z137-aug-14-22-knarrevik_assemble_start_18.406_end_28.271.mp4,Reaching with the wrong orientation,,,
z137-aug-14-22-rashult_assemble_start_549.9_end_558.4.mp4,Incorrect subcomponent orientation,Pitch 90 ,,
z189-sep-10-22-knarrevik_assemble_start_16.788_end_23.188.mp4,Small 1D Gaze Shift,Yaw 180,,
z095-july-11-22-rashult_assemble_start_178.389_end_188.8.mp4,Pick-up wrong piece,,,
z085-july-06-22-marius_assemble_start_40.6_end_47.718.mp4,Pause full hand,Yaw 360,,
z060-june-28-22-rashult_assemble_start_621.9_end_633.2.mp4,Moving farther back,,,
z117-aug-05-22-rashult_assemble_start_33.394_end_43.476.mp4,Builder history,,,
z009-june-15-22-marius_assemble_start_18.0_end_25.3.mp4,Roll 180,Pick-up wrong piece,,
z178-sep-05-22-knarrevik_assemble_start_521.427_end_529.0.mp4,Looking away,Pause empty hand,,
z208-sep-27-22-gladom_assemble_start_90.975_end_96.525.mp4,Small 1D Gaze Shift,,,
z178-sep-05-22-knarrevik_assemble_start_742.718_end_751.718.mp4,Warning For Future,,,
z191-sep-11-22-rashult_assemble_start_43.2_end_51.3.mp4,Reaching towards wrong piece ,Retract from wrong reach,,
z138-aug-15-22-marius_assemble_start_127.328_end_133.157.mp4,Pause full hand,,,
z191-sep-11-22-rashult_assemble_start_495.6_end_502.7.mp4,Pause full hand,Yaw 90,,
z019-june-20-22-rashult_assemble_start_419.111_end_425.891.mp4,Incorrect subcomponent placement,,,
z029-june-22-22-marius_assemble_start_67.8_end_77.0.mp4,No apparent Cue,,,
z075-july-01-22-knarrevik_assemble_start_93.3_end_104.782.mp4,Incorrect subcomponent orientation,,,
z095-july-11-22-rashult_assemble_start_42.05_end_48.75.mp4,No apparent Cue,,,
z028-june-22-22-marius_assemble_start_114.1_end_121.0.mp4,Undo step,,,
z010-june-16-22-knarrevik_assemble_start_256.631_end_266.516.mp4,Inconvenient subcomponent orientation,,,
z076-july-01-22-marius_assemble_start_66.1_end_74.8.mp4,Pick-up wrong piece,Pitch 180,,
z153-aug-25-22-gladom_assemble_start_4.077999999999999_end_12.475.mp4,Pick-up wrong piece,Pause full hand,,
z102-july-13-22-rashult_assemble_start_49.218_end_55.11.mp4,Pitch 180,Roll 90 ,,
z093-july-11-22-rashult_assemble_start_127.30000000000001_end_137.6.mp4,Reaching towards wrong piece ,,,
z190-sep-10-22-rashult_assemble_start_302.3_end_311.3.mp4,Retract from right contact,Pick-up wrong piece,Small 1D Gaze Shift,
z091-july-08-22-marius_assemble_start_21.2_end_28.3.mp4,Incorrect subcomponent placement,Incorrect subcomponent orientation,,
z014-june-17-22-gladom_assemble_start_138.285_end_146.9.mp4,No apparent Cue,,,
z106-july-14-22-rashult_assemble_start_193.2_end_202.7.mp4,Inconvenient subcomponent placement,,,
z018-june-20-22-marius_assemble_start_61.43299999999999_end_69.43299999999999.mp4,Incorrect subcomponent placement,Reaching with the wrong orientation,,
z051-june-27-22-rashult_assemble_start_909.1_end_919.3.mp4,Reaching towards wrong piece ,,,
z167-sep-01-22-gladom_assemble_start_21.725_end_29.73577592871959.mp4,Incorrect subcomponent orientation,,,
z191-sep-11-22-rashult_assemble_start_787.2_end_794.8.mp4,Repeating Completed Step,,,
z136-aug-13-22-marius_assemble_start_126.1_end_132.2.mp4,shaking structure,,,
z021-june-20-22-knarrevik_assemble_start_16.1_end_37.249.mp4,Roll 180,Yaw 180,Pick-up wrong piece,
z076-july-01-22-marius_assemble_start_27.62358141410882_end_37.1269070705441.mp4,Missing Tool,,,
z038-june-23-22-rashult_assemble_start_34.81701922137968_end_40.28301922137968.mp4,Incorrect subcomponent placement,Builder history,,
z163-aug-30-22-gladom_assemble_start_21.418_end_30.072.mp4,Pause full hand,Fixate on piece,Pitch 90 ,
z031-june-22-22-marius_assemble_start_47.533_end_59.4.mp4,Pick-up wrong piece,,,
z169-sep-02-22-knarrevik_assemble_start_44.851_end_54.447.mp4,Reaching with the wrong orientation,Incorrect subcomponent orientation,,
z185-sep-09-22-gladom_assemble_start_111.304_end_118.293.mp4,Incorrect subcomponent orientation,Touching pieces together,,
z094-july-11-22-gladom_assemble_start_6.215_end_13.447.mp4,Reaching towards wrong piece ,Pick-up wrong piece,,
z067-june-29-22-marius_assemble_start_255.05700000000002_end_262.769.mp4,Pause empty hand,Moving farther back,,
z150-aug-22-22-rashult_assemble_start_60.397000000000006_end_69.4.mp4,Pick-up wrong piece,Inconvenient subcomponent placement,,
z161-aug-29-22-rashult_assemble_start_2.0_end_9.4.mp4,Pause empty hand,Reaching towards wrong piece ,,
z075-july-01-22-knarrevik_assemble_start_8.099_end_19.951.mp4,Pause full hand,Yaw 180,,
z066-june-29-22-marius_assemble_start_51.1_end_58.4.mp4,Missing Tool,,,
z020-june-20-22-gladom_assemble_start_222.17_end_232.029.mp4,Incorrect subcomponent orientation,,,
z050-june-27-22-rashult_assemble_start_534.082_end_542.506.mp4,Incorrect subcomponent placement,Pause full hand,,
z191-sep-11-22-rashult_assemble_start_127.93100000000001_end_135.069.mp4,Pause full hand,,,
z137-aug-14-22-rashult_assemble_start_571.168_end_579.39.mp4,Pick-up wrong piece,Pause full hand,,
z048-june-25-22-marius_assemble_start_80.771_end_89.69299999999997.mp4,Incorrect subcomponent orientation,,,
z191-sep-11-22-rashult_assemble_start_384.1_end_392.5.mp4,Pick-up wrong piece,,,
z048-june-25-22-rashult_assemble_start_811.555_end_824.0.mp4,Pause empty hand,Small 1D Gaze Shift,,
z201-sep-22-22-gladom_assemble_start_172.327_end_178.7274502672262.mp4,Pick-up wrong piece,Roll 180,,
z048-june-25-22-rashult_assemble_start_395.2_end_405.5.mp4,Pause full hand,Looking around,,
z109-july-27-22-knarrevik_assemble_start_12.290196040984604_end_19.3901960409846.mp4,Yaw 360,Pause full hand,,
z017-june-20-22-rashult_assemble_start_900.488_end_910.688.mp4,Pick-up wrong piece,,,
z098-july-12-22-knarrevik_assemble_start_40.37058767944757_end_46.4.mp4,Retract from right contact,,,
z098-july-12-22-knarrevik_assemble_start_23.141175358895147_end_33.7.mp4,Pause full hand,,,
z121-aug-09-22-gladom_assemble_start_46.535_end_56.047.mp4,Missing Tool,,,
z191-sep-11-22-rashult_assemble_start_3.0999999999999996_end_15.947.mp4,Pause empty hand,,,
z048-june-25-22-marius_assemble_start_162.649_end_170.172.mp4,Incorrect subcomponent orientation,,,
z196-sep-17-22-rashult_assemble_start_622.347_end_629.306.mp4,Incorrect subcomponent orientation,,,
z047-june-25-22-marius_assemble_start_65.3_end_80.03529853615258.mp4,Small 1D Gaze Shift,Pause full hand,Decrease Proximity to Gaze,
z169-sep-02-22-rashult_assemble_start_597.565_end_605.317.mp4,No apparent Cue,,,
z128-aug-10-22-knarrevik_assemble_start_393.7_end_401.941.mp4,Incorrect subcomponent placement,Incorrect subcomponent orientation,,
z169-sep-02-22-rashult_assemble_start_196.12_end_207.925.mp4,Shifting alignment,Increase Proximity to Gaze,Roll 180,Pause full hand
z050-june-27-22-rashult_assemble_start_419.129_end_429.529.mp4,Moving farther back,Pause full hand,,
z108-july-26-22-rashult_assemble_start_539.182_end_547.5.mp4,Inconvenient subcomponent orientation,,,
z051-june-27-22-rashult_assemble_start_251.09500000000003_end_262.39.mp4,Pause full hand,Roll 180,Large 1D Gaze Shift,
z081-july-06-22-rashult_assemble_start_460.4_end_468.4.mp4,Incorrect subcomponent placement,,,
z146-aug-19-22-marius_assemble_start_103.153_end_110.053.mp4,Pick-up wrong piece,,,
z109-july-27-22-rashult_assemble_start_247.1_end_253.8.mp4,Pause full hand,Roll 180,Pitch 90 ,
z186-sep-09-22-knarrevik_assemble_start_207.3_end_214.083.mp4,Palm up,Moving farther back,,
z079-july-05-22-knarrevik_assemble_start_131.1_end_138.0.mp4,Warning For Future,,,
z082-july-06-22-rashult_assemble_start_720.2_end_732.8.mp4,Pick-up wrong piece,Pitch 90 ,,
z198-sep-18-22-rashult_assemble_start_0_end_4.234.mp4,Large 1D Gaze Shift,Pause empty hand,,
z093-july-11-22-knarrevik_assemble_start_11.100000000000001_end_24.7.mp4,Pitch 90 ,Roll 90 ,Yaw 90,Retract from right contact
z017-june-20-22-rashult_assemble_start_818.053_end_825.053.mp4,Incorrect subcomponent placement,,,
z099-july-13-22-rashult_assemble_start_37.3_end_43.8.mp4,Reaching towards wrong piece ,Retract from right reach,,
z120-aug-09-22-marius_assemble_start_31.527_end_38.3.mp4,No apparent Cue,,,
z014-june-17-22-gladom_assemble_start_359.221_end_365.406.mp4,Pause empty hand,,,
z125-aug-10-22-rashult_assemble_start_465.614_end_478.971.mp4,Inconvenient subcomponent orientation,,,
z099-july-13-22-rashult_assemble_start_156.559_end_164.638.mp4,Interjection,Roll 360,,
z066-june-29-22-marius_assemble_start_89.437_end_96.937.mp4,Pick-up wrong piece,,,
z131-aug-11-22-rashult_assemble_start_234.541_end_242.441.mp4,Incorrect subcomponent orientation,Touching pieces together,,
z129-aug-11-22-rashult_assemble_start_13.988_end_24.865.mp4,Pick-up wrong piece,,,
z191-sep-11-22-rashult_assemble_start_288.1_end_299.7.mp4,Increase Proximity to Gaze,Small 1D Gaze Shift,Moving closer ,
z145-aug-18-22-gladom_assemble_start_103.931_end_110.94.mp4,Pick-up wrong piece,Fixate on piece,,
z169-sep-02-22-knarrevik_assemble_start_82.29_end_91.614.mp4,Inconvenient subcomponent orientation,Reaching towards wrong piece ,,
z186-sep-09-22-knarrevik_assemble_start_209.106_end_215.8.mp4,Palm up,Decrease Proximity to Gaze,,
z069-june-29-22-rashult_assemble_start_336.1_end_342.6.mp4,Decrease Proximity to Gaze,,,
z045-june-24-22-gladom_assemble_start_75.706_end_84.247.mp4,Changing angle between pieces ,Touching pieces together,,
z117-aug-05-22-rashult_assemble_start_392.1_end_400.812.mp4,Incorrect subcomponent placement,,,
z019-june-20-22-knarrevik_assemble_start_576.715_end_591.82.mp4,Shifting alignment,,,
z150-aug-22-22-rashult_assemble_start_662.417_end_668.6.mp4,No apparent Cue,,,
z108-july-26-22-rashult_assemble_start_628.271_end_635.871.mp4,Pause empty hand,Decrease Proximity to Gaze,,
z060-june-28-22-rashult_assemble_start_134.59_end_143.59.mp4,Moving closer ,Pitch 90 ,,
z185-sep-09-22-marius_assemble_start_222.673_end_234.073.mp4,Pause empty hand,Moving farther back,,
z150-aug-22-22-rashult_assemble_start_211.51_end_217.7.mp4,Reaching with the wrong orientation,Incorrect subcomponent orientation,,
z150-aug-22-22-rashult_assemble_start_213.064_end_219.708.mp4,Reaching with the wrong orientation,Incorrect subcomponent placement,,
z025-june-21-22-knarrevik_assemble_start_408.505_end_416.587.mp4,Inconvenient subcomponent orientation,,,
z144-aug-18-22-knarrevik_assemble_start_17.53380401082677_end_30.959.mp4,Inconvenient subcomponent orientation,,,
z201-sep-22-22-rashult_assemble_start_312.3_end_319.6.mp4,Pause full hand,,,
z185-sep-09-22-gladom_assemble_start_143.1_end_156.253.mp4,Incorrect subcomponent orientation,Touching pieces together,,
z165-aug-31-22-gladom_assemble_start_46.2294099399058_end_55.84009939905798.mp4,Reaching towards wrong piece ,,,
z024-june-21-22-rashult_assemble_start_165.1_end_177.9.mp4,Looking around,Pitch 90 ,,
z050-june-27-22-rashult_assemble_start_201.982_end_211.682.mp4,Small 1D Gaze Shift,Decrease Proximity to Gaze,,
z050-june-27-22-rashult_assemble_start_863.351_end_877.086.mp4,Reaching towards wrong piece ,Pick-up wrong piece,,
z095-july-11-22-rashult_assemble_start_782.497_end_798.061.mp4,Inconvenient subcomponent orientation,Incorrect subcomponent placement,,
z081-july-06-22-rashult_assemble_start_173.869_end_179.899.mp4,Question,,,
z078-july-01-22-knarrevik_assemble_start_29.512_end_39.755.mp4,Pause empty hand,Small 1D Gaze Shift,Touching pieces together,
z176-sep-05-22-knarrevik_assemble_start_19.2_end_26.147.mp4,Retract from right contact,Pause full hand,,
z075-july-01-22-rashult_assemble_start_392.3_end_403.541.mp4,Pick-up wrong piece,,,
z069-june-29-22-rashult_assemble_start_50.3_end_56.6.mp4,Pick-up wrong piece,,,
z046-june-24-22-marius_assemble_start_16.898_end_22.814.mp4,Pick-up wrong piece,,,
z014-june-17-22-gladom_assemble_start_256.66_end_268.945.mp4,Pause full hand,,,
z190-sep-10-22-rashult_assemble_start_141.2_end_151.0.mp4,Retract from right contact,Pitch 180,,
z021-june-20-22-knarrevik_assemble_start_179.62_end_195.318.mp4,Inconvenient subcomponent orientation,Reaching towards wrong piece ,,
z099-july-13-22-rashult_assemble_start_557.336_end_567.0.mp4,Incorrect subcomponent placement,,,
z138-aug-15-22-marius_assemble_start_116.076_end_122.28.mp4,shaking structure,Reaching towards wrong piece ,,
z191-sep-11-22-rashult_assemble_start_524.9_end_532.9.mp4,Pick-up wrong piece,,,
